NAME_EN,my_id,"RGB (Red, Green, Blue)",HEX-код
Indonesia,1,"140, 60, 200",#8C3CC8
Malaysia,2,"153, 67, 203",#9943CB
Chile,3,"166, 74, 206",#A64ACE
Bolivia,4,"179, 81, 209",#B351D1
Peru,5,"192, 88, 212",#C058D4
Argentina,6,"205, 95, 215",#CD5FD7
Dhekelia Cantonment,7,"218, 102, 218",#DA66DA
Cyprus,8,"231, 109, 221",#E76DDD
India,9,"244, 116, 224",#F474E0
People's Republic of China,10,"147, 123, 227",#937BE3
Israel,11,"160, 130, 230",#A082E6
Palestine,12,"173, 137, 233",#AD89E9
Lebanon,13,"186, 144, 236",#BA90EC
Ethiopia,14,"199, 61, 239",#C73DEF
South Sudan,15,"212, 68, 242",#D444F2
Somalia,16,"225, 75, 245",#E14BF5
Kenya,17,"238, 82, 248",#EE52F8
Malawi,18,"141, 89, 251",#8D59FB
Tanzania,19,"154, 96, 254",#9A60FE
Syria,20,"167, 103, 202",#A767CA
Somaliland,21,"180, 110, 205",#B46ECD
France,22,"193, 117, 208",#C175D0
Suriname,23,"206, 124, 211",#CE7CD3
Guyana,24,"219, 131, 214",#DB83D6
South Korea,25,"232, 138, 217",#E88AD9
North Korea,26,"245, 145, 220",#F591DC
Morocco,27,"148, 62, 223",#943EDF
Western Sahara,28,"161, 69, 226",#A145E2
Costa Rica,29,"174, 76, 229",#AE4CE5
Nicaragua,30,"187, 83, 232",#BB53E8
Republic of the Congo,31,"200, 90, 235",#C85AEB
Democratic Republic of the Congo,32,"213, 97, 238",#D561EE
Bhutan,33,"226, 104, 241",#E268F1
Ukraine,34,"239, 111, 244",#EF6FF4
Belarus,35,"142, 118, 247",#8E76F7
Namibia,36,"155, 125, 250",#9B7DFA
South Africa,37,"168, 132, 253",#A884FD
Saint Martin,38,"181, 139, 201",#B58BC9
Sint Maarten,39,"194, 146, 204",#C292CC
Oman,40,"207, 63, 207",#CF3FCF
Uzbekistan,41,"220, 70, 210",#DC46D2
Kazakhstan,42,"233, 77, 213",#E94DD5
Tajikistan,43,"246, 84, 216",#F654D8
Lithuania,44,"149, 91, 219",#955BDB
Brazil,45,"162, 98, 222",#A262DE
Uruguay,46,"175, 105, 225",#AF69E1
Mongolia,47,"188, 112, 228",#BC70E4
Russia,48,"201, 119, 231",#C977E7
Czech Republic,49,"214, 126, 234",#D67EEA
Germany,50,"227, 133, 237",#E385ED
Estonia,51,"240, 140, 240",#F08CF0
Latvia,52,"143, 147, 243",#8F93F3
Norway,53,"156, 64, 246",#9C40F6
Sweden,54,"169, 71, 249",#A947F9
Finland,55,"182, 78, 252",#B64EFC
Vietnam,56,"195, 85, 200",#C355C8
Cambodia,57,"208, 92, 203",#D05CCB
Luxembourg,58,"221, 99, 206",#DD63CE
United Arab Emirates,59,"234, 106, 209",#EA6AD1
Belgium,60,"247, 113, 212",#F771D4
Georgia,61,"150, 120, 215",#9678D7
North Macedonia,62,"163, 127, 218",#A37FDA
Albania,63,"176, 134, 221",#B086DD
Azerbaijan,64,"189, 141, 224",#BD8DE0
Kosovo,65,"202, 148, 227",#CA94E3
Turkey,66,"215, 65, 230",#D741E6
Spain,67,"228, 72, 233",#E448E9
Laos,68,"241, 79, 236",#F14FEC
Kyrgyzstan,69,"144, 86, 239",#9056EF
Armenia,70,"157, 93, 242",#9D5DF2
Denmark,71,"170, 100, 245",#AA64F5
Libya,72,"183, 107, 248",#B76BF8
Tunisia,73,"196, 114, 251",#C472FB
Romania,74,"209, 121, 254",#D179FE
Hungary,75,"222, 128, 202",#DE80CA
Slovakia,76,"235, 135, 205",#EB87CD
Poland,77,"248, 142, 208",#F88ED0
Ireland,78,"151, 149, 211",#9795D3
United Kingdom,79,"164, 66, 214",#A442D6
Greece,80,"177, 73, 217",#B149D9
Zambia,81,"190, 80, 220",#BE50DC
Sierra Leone,82,"203, 87, 223",#CB57DF
Guinea,83,"216, 94, 226",#D85EE2
Liberia,84,"229, 101, 229",#E565E5
Central African Republic,85,"242, 108, 232",#F26CE8
Sudan,86,"145, 115, 235",#9173EB
Djibouti,87,"158, 122, 238",#9E7AEE
Eritrea,88,"171, 129, 241",#AB81F1
Austria,89,"184, 136, 244",#B888F4
Iraq,90,"197, 143, 247",#C58FF7
Italy,91,"210, 60, 250",#D23CFA
Switzerland,92,"223, 67, 253",#DF43FD
Iran,93,"236, 74, 201",#EC4ACA
Netherlands,94,"249, 81, 204",#F951CD
Liechtenstein,95,"152, 88, 207",#9858CF
Ivory Coast,96,"165, 95, 210",#A55FD2
Serbia,97,"178, 102, 213",#B266D5
Mali,98,"191, 109, 216",#BF6DD8
Senegal,99,"204, 116, 219",#CC74DB
Nigeria,100,"217, 123, 222",#D97BDE
Benin,101,"230, 130, 225",#E682E1
Angola,102,"243, 137, 228",#F389E4
Croatia,103,"146, 144, 231",#9290E7
Slovenia,104,"159, 61, 234",#9F3DEA
Qatar,105,"172, 68, 237",#AC44ED
Saudi Arabia,106,"185, 75, 240",#B94BF0
Botswana,107,"198, 82, 243",#C652F3
Zimbabwe,108,"211, 89, 246",#D359F6
Pakistan,109,"224, 96, 249",#E060F9
Bulgaria,110,"237, 103, 252",#ED67FC
Thailand,111,"140, 110, 200",#8C6EC8
